restaurant_id,name,rating,review_count,positive_reviews_points,negative_reviews_points
rest_001,Thai Papaya,4.4,688,"friendly attentive staff, fast pickup service, good food flavor reputation, fair value pricing, large portion sizes","food quality consistency issues, delivery order accuracy issues, greasy packaging problems, rude service interactions"
rest_002,Pablo's Mexican Restaurant,4.4,1548,"strong food quality reputation, pleasant atmosphere experience, good value pricing perception, attentive allergy friendly service, consistent repeat customer loyalty","service attentiveness issues, food authenticity perception issues, value pricing concerns"
rest_003,Tacos Cinco de Mayo,4.6,196,"strong food quality reputation, authentic flavor experience, clean welcoming environment, friendly helpful staff, good value pricing perception",basic casual atmosphere
rest_004,Nonna Bella's Pizzeria,4.7,495,"strong food quality reputation, friendly attentive service, welcoming family atmosphere, reasonable value perception, owner personal engagement",
rest_005,Jolene's Thai Cuisine,4.7,297,"strong food quality reputation, friendly attentive service, owner personal engagement, good vegetarian glutenfree options, clean welcoming atmosphere","food quality consistency issues, website ordering confusion"
rest_006,El Fresco Mexican Grill,4.5,406,"friendly attentive service, fast reliable pickup speed, strong food quality reputation, clean inviting atmosphere, good value pricing perception","food quality consistency issues, menu clarity accuracy issues"
rest_008,Washington Burrito,3.6,455,"24 hour availability, strong food quality reputation, loyal repeat customers, fast drive thru service","order accuracy issues, slow service delays, food quality inconsistency, menu item availability issues"
rest_009,Oh Mmm Gyros,4.9,1321,"strong food quality reputation, fresh ingredients perception, friendly welcoming service, clean comfortable environment, good portion value perception",
rest_012,The Northern Pines Restaurant,4.4,3907,"strong food quality reputation, friendly attentive service, family friendly atmosphere, welcoming pet friendly policy, cozy inviting environment","long wait times, high pricing perception"
rest_013,Royal Spice,4.8,378,"strong food quality reputation, friendly attentive service, pleasant dining atmosphere, clear menu explanations, authentic cuisine experience","slow food preparation time, inconsistent dessert quality"
rest_014,Seahouse Fish & Chicken - Fried Chicken Takeaway,4.6,355,"strong food quality reputation, freshness and temperature consistency, helpful friendly service, good value perception, quick pickup resolution","seasoning preference inconsistency, limited dine in experience, sauce flavor dissatisfaction, missing condiment availability"
rest_016,No. 9 Grill,4.7,2603,"strong food quality reputation, friendly attentive service, good portion value perception, positive overall dining experience, consistent customer satisfaction","slow service speed, uneven staff professionalism, wait time management issues"
rest_017,La Catrachada Mexican & Latino Grill,4.2,394,"strong food quality reputation, authentic menu appeal, pleasant restaurant atmosphere, friendly service experience","food quality consistency issues, slow service speed, staff training gaps, menu clarity accuracy issues, value pricing perception concerns"
rest_018,Nantuckets,4.3,434,"strong food quality reputation, appealing atmosphere ambiance, attentive friendly service, good value portion perception, inviting repeat customer appeal","slow service speed, food quality consistency issues, minor facility maintenance issues"
rest_019,Pannie-George's Kitchen,4.5,937,"strong food quality reputation, friendly welcoming staff, consistent repeat experience, fair value pricing perception, positive community brand trust","portion size dissatisfaction, food freshness consistency issues, menu clarity confusion"
rest_020,Rocco's Pizza,4.2,110,"strong food quality reputation, friendly helpful staff, community support appeal, menu variety improvements, good value perception","food quality consistency issues, menu clarity accuracy issues, limited dine in experience, service recovery issues"
rest_021,New York Pizza,4.6,99,"strong food quality reputation, friendly attentive service, fast order fulfillment, reliable delivery communication, positive local community perception","food quality consistency issues, product preparation accuracy issues, limited dine-in atmosphere"
rest_022,Old Soul @ 40 Acres,4.3,916,"friendly attentive staff, strong coffee quality reputation, comfortable seating atmosphere, good food presentation, work friendly environment","drink preparation inconsistency, slow service during busy times, staff training inconsistency, limited menu customization options"
rest_023,Pat's Pizza & Bistro Philadelphia Pike,4.2,367,"strong food quality reputation, clean welcoming atmosphere, good event hosting experience, friendly attentive service","food quality consistency issues, order accuracy problems, low customer traffic perception"
rest_024,Carolina's Mexican Food,4.4,4812,"strong food quality reputation, friendly efficient service, reasonable value pricing, community trust brand experience, broad menu variety","food quality consistency issues, service attitude inconsistency, menu clarity accuracy confusion, uncomfortable dining environment"
rest_025,DragonEats,4.7,462,"strong food quality reputation, fresh ingredient perception, fast pickup experience, positive brand loyalty, healthy menu perception","flavor balance inconsistency, menu clarity accuracy"
rest_026,El Cerro Tacos,4.3,1165,"strong food quality reputation, attentive friendly service, pleasant atmosphere experience, good portion value perception, clean comfortable environment","food quality consistency issues, value pricing perception issues, reservation management reliability, parking convenience challenges"
rest_027,Emoji Burger,4.5,785,"strong food quality reputation, friendly attentive service, quick reliable pickup speed, fun brand experience, clean cozy atmosphere","menu item availability changes, small portion perception"
rest_028,Gansett Wraps,4.7,326,"strong food quality reputation, generous portion sizes, friendly helpful service, accurate order fulfillment, good value pricing perception",
rest_029,El Bruno's,4.2,1541,"strong food quality reputation, friendly efficient service, pleasant atmosphere experience, clean welcoming environment, convenient location accessibility","slow service during busy times, inconsistent service quality, value pricing perception concerns"
rest_030,Toscanas Pizzeria & Restaurant,4.3,352,"strong food quality reputation, friendly welcoming service, consistent repeat experience, pleasant local ambience, quick pickup speed","food quality consistency issues, service attentiveness variation, minor cleanliness atmosphere issues, value pricing perception challenges"
rest_031,Che Figata Italian Bistro,4.4,328,"strong food quality reputation, welcoming atmosphere experience, friendly attentive service, loyal repeat customer base, positive brand perception","food quality consistency issues, service pacing inconsistency"
rest_032,Roman Pizzeria & Restaurant,4.5,153,"friendly responsive ownership, strong food quality reputation, fast reliable delivery, good value perception, clean welcoming environment","pricing inconsistency concerns, food quality consistency issues"
rest_033,No 1 Restaurant,3.4,175,"attentive special request handling, strong food customization flexibility","food quality consistency issues, value pricing perception issues, delivery fee dissatisfaction, menu clarity accuracy concerns, customer trust brand experience decline"
rest_034,Lal Qilla,4,334,"strong food quality reputation, improved ambiance experience, family friendly environment, good service quality, event hosting appeal","slow service speed, tableware cleanliness issues, portion size inconsistency, food quality consistency issues"
rest_035,Dos Chiles Grandes,4.1,791,"strong food quality reputation, clean organized environment, friendly attentive service, good value pricing perception, loyal repeat customer base","slow initial service response, inconsistent flavor satisfaction"
rest_036,Giovanni's Brooklyn Eats,4.5,1048,"strong service quality, warm welcoming atmosphere, high food quality reputation, consistent repeat experience, engaging live music experience",noise level concerns
rest_037,Main Street Pizza,4.2,101,"strong food quality reputation, repeat customer loyalty","value pricing perception issues, food quality consistency issues, delivery reliability issues, service quality professionalism issues"
rest_038,Sabai Sabai,4.4,247,"strong food quality reputation, friendly attentive service, pleasant relaxed atmosphere, good group accommodation, positive local reputation","food portion inconsistency, food preparation consistency issues, menu item availability issues"
rest_039,The Juice Somm,5,39,"strong food quality reputation, friendly welcoming service, good value perception, owner personal engagement, positive repeat intent",
rest_040,La Casa Lopez,4.5,1431,"strong food quality reputation, welcoming comfortable atmosphere, easy payment experience, friendly attentive service, large portion value perception","food quality consistency issues, ingredient freshness concerns, value pricing perception issues"
rest_041,Root 2 Rise NY,4.8,229,"strong food quality reputation, healthy menu perception, friendly knowledgeable staff, clean inviting atmosphere, good value perception",food quality consistency issues
rest_042,Sapporo Ramen,4.3,705,"strong food quality reputation, good service quality, fast pickup speed, comfortable dining environment, reasonable sushi value","food quality consistency issues, bland flavor experience, high pricing perception, small portion size, menu clarity accuracy issues"
rest_043,The High Hat,4.6,445,"strong food quality reputation, friendly attentive service, fast kitchen speed, pleasant atmosphere design, easy parking access","food quality consistency issues, value pricing perception issues, limited dietary options, long wait times, noise level discomfort"
rest_044,Joe's Pizza & Subs,4.5,238,"strong food quality reputation, friendly welcoming service, broad appealing menu variety, good value portion sizes, consistent positive experiences",
rest_045,The Pancake House & Grill,4.3,1483,"strong food quality reputation, reasonable value pricing perception, friendly attentive service, pleasant ambiance experience, consistent repeat customer loyalty","service speed issues, staff communication problems, operating hours reliability issues, food quality consistency issues, value pricing dissatisfaction"
rest_046,Ruah Cafe - The Woodlands The Woodlands,4.9,467,"strong food quality reputation, excellent coffee experience, friendly attentive service, inviting atmosphere ambiance, high customer loyalty intent","occasional slow service, limited menu item availability"
rest_047,Mr. Burger,4.2,523,"strong food quality reputation, friendly helpful staff, pleasant dine in experience, local brand appeal, family friendly atmosphere",food quality consistency issues
rest_048,Shoreline Diner & Vegetarian Enclave,4.3,1048,"strong food quality reputation, broad menu variety, good allergy friendly options, clean comfortable environment, attentive greeting service","slow service speed, high pricing perception, food quality consistency issues, value pricing mismatch, service attentiveness gaps"
rest_049,Huntington Ramen and Sushi,4.6,862,"strong food quality reputation, broad vegan menu appeal, friendly attentive service, cozy welcoming atmosphere, fair value perception","slow table service moments, wait time for seating"
rest_050,Monte Carlo Pizzeria,4.1,153,"strong food quality reputation, friendly professional service, fast pickup preparation, community focused brand, order accuracy reliability","delivery reliability issues, rude customer interaction, portion value concerns"
rest_052,Grillers Puerto Rico,4.3,2123,"strong food quality reputation, friendly welcoming service, convenient location access, broad appealing menu variety, high repeat customer loyalty","service attentiveness inconsistency, food quality consistency issues"
rest_053,Giorgio's Pizza & Subs,4.5,507,"strong food quality reputation, friendly engaging staff, good value pricing perception, consistent repeat experience, positive community brand trust","cleanliness maintenance issues, limited seating space, service friendliness inconsistency"
rest_054,Breakfast Station,4.7,2041,"strong food quality reputation, efficient friendly service, welcoming local atmosphere, owner engagement visibility, fast reliable order timing",limited discount offerings
rest_055,Ella Ray's Cafe,3.8,181,"strong food quality reputation, friendly welcoming service, authentic homestyle atmosphere, well run local ownership, good menu variety","food quality consistency issues, slow ordering experience, poor issue resolution process, value pricing concerns"
rest_056,Pedalers Fork,4.4,1108,"strong food quality reputation, welcoming atmosphere experience, friendly attentive service, pet friendly environment, pleasant outdoor seating",value pricing perception
rest_057,No Manches Mexican Grill 2 Vernon Hills,4.5,522,"strong food quality reputation, friendly attentive service, clean welcoming atmosphere, great drink experience, family friendly environment","inconsistent service quality, slower order taking experience, drink order accuracy issues"
rest_058,Hillcrest Restaurant,4.2,1223,"friendly welcoming service, clean comfortable atmosphere, good value pricing perception, strong food quality reputation, historic local charm","food quality consistency issues, service attentiveness gaps, cleanliness maintenance issues, inconsistent operating hours"
rest_059,Gyro King & Wings,4.1,654,"friendly helpful service, strong food quality reputation, loyal repeat customers, broad menu variety","slow pickup preparation, food temperature inconsistency, service attitude inconsistency, limited family amenities"
rest_060,Ki' Mexico,4.6,1773,"strong food quality reputation, authentic flavor experience, pleasant atmosphere environment, reasonable value perception","inconsistent service quality, slow food timing, limited menu variety, cleanliness maintenance issues, rigid ordering experience"
rest_061,Brooklyn Crab,4.2,2994,"strong food quality reputation, friendly attentive service, attractive waterfront atmosphere, good drink selection, memorable dining experience","food quality consistency issues, value pricing perception"
rest_062,The Fork At Skagit Bay,4.4,182,"strong food quality reputation, attentive friendly service, good drink selection, pleasant atmosphere experience, consistent repeat experience","slow food preparation, value pricing concerns, food quality consistency issues, menu clarity accuracy issues"
rest_063,Aroma of India,4.6,300,"strong food quality reputation, authentic flavor experience, friendly attentive service, clean welcoming atmosphere, high customer satisfaction loyalty",slow food preparation time
rest_064,Grape Leaves Restaurant,4.6,624,"strong food quality reputation, authentic cultural atmosphere, friendly attentive service, good value perception, consistent customer satisfaction",
rest_065,Huntington Ramen and Sushi,4.6,862,"strong food quality reputation, broad vegan menu appeal, friendly attentive service, cozy welcoming atmosphere, fair value perception","slow table service response, wait time management issues"
rest_066,Thai Papaya,4.4,688,"friendly attentive staff, fast pickup speed, good food flavor reputation, fair value pricing, large portion sizes","food quality consistency issues, delivery order accuracy issues, greasy packaging problems, poor service attitude incidents"
rest_067,Bollywood Grill,4.3,11,"strong food quality reputation, authentic flavor experience, friendly service quality, accurate customization options, good value pricing perception","delivery reliability issues, communication responsiveness problems"
rest_069,Krispy Krunchy Chicken,4.1,361,"strong food quality reputation, reasonable value pricing perception, fast service reliability, professional friendly staff, positive repeat order intent","menu clarity accuracy issues, slow order fulfillment"
rest_070,Fusion Kitchen,4.9,71,"strong food quality reputation, high service quality, positive ambience experience, affordable value perception, fresh ingredient consistency",
rest_071,Dos Amigos Mexican Restaurant,4.1,728,"friendly attentive service, fast service speed, pleasant dining atmosphere, strong food quality reputation, good value deals","inconsistent service quality, food quality consistency issues, facility maintenance issues, uncomfortable tipping experience"
rest_074,The Cace Kitchen,4.8,103,"strong food quality reputation, friendly helpful service, quick service speed, responsive ownership engagement, positive repeat customer sentiment","portion size value concern, food quality consistency issues"
rest_075,B-Side Grill,4.6,771,"strong food quality reputation, friendly service quality, fun nostalgic atmosphere, good value pricing perception, comfortable dining environment","cleanliness maintenance issues, slow service during busy times, food consistency variation"
rest_077,Village Pizza 11102 Main St,4.3,390,"strong food quality reputation, friendly owner service, local community connection, improved brand perception, consistent product freshness",
rest_078,King Wing,4.4,376,"strong food quality reputation, friendly attentive service, fast pickup experience, good value pricing, clean welcoming environment","food quality consistency issues, location visibility challenge"
rest_080,Jacob's 24 Hour Burgers,4.4,739,"strong food quality reputation, fast pickup speed reliability, friendly service quality, clean welcoming environment, good value pricing perception",
rest_081,The Pharmacy Burger Parlor & Beer Garden,4.5,7721,"strong food quality reputation, friendly efficient service quality, broad menu variety options, welcoming atmosphere experience, convenient location accessibility",food quality consistency issues
rest_082,Curry House,4.7,896,"strong food quality reputation, friendly attentive service, personalized customer experience, positive brand loyalty, clear helpful menu guidance","limited geographic accessibility, inconsistent phone responsiveness"
rest_083,Kenny's Burger Joint,4.6,2634,"strong food quality reputation, consistent repeat experience, friendly attentive service quality, good value perception, positive brand trust experience","value pricing perception issues, food quality consistency issues, menu clarity accuracy issues, occasional service consistency issues"
rest_084,C&C Asian Garden,4.2,351,"strong food quality reputation, good value pricing perception, friendly service quality, fast pickup speed reliability, consistent repeat experience",average ambience experience
rest_085,Bhimas Food Truck (Foodtruck Ops closed for Winter. Open for only Catering),4.9,185,"strong food quality reputation, high catering satisfaction, friendly professional service, consistent food experience, positive brand trust","event timing reliability, pickup availability management"
rest_086,Pho Bay Georgetown,4.6,947,"strong food quality reputation, friendly attentive service, clean welcoming atmosphere, quick reliable service speed, good allergy accommodation",
rest_087,Sugarboy Bakery,4.2,224,"strong food quality reputation, professional friendly service quality, fast responsive communication, consistent repeat experience, good value pricing perception",
rest_088,2721 W International Speedway Blvd,,,,
rest_089,Ginger Exchange,4.2,220,"strong food quality reputation, attentive friendly service, fast food preparation, pleasant atmosphere experience, broad appealing menu variety",menu clarity accuracy
rest_090,Java Burrito Company,4.6,709,"strong food quality reputation, friendly attentive service, clean welcoming environment, good value pricing perception, consistent positive experience","food quality consistency issues, menu clarity accuracy issues"
rest_091,Fun Noodle Bar,4.7,475,"strong food quality reputation, authentic menu experience, generous portion sizes, good service quality, pleasant atmosphere","food quality consistency issues, value pricing perception, facility maintenance issues, pickup order freshness issues"
rest_092,Baan Thai Restaurant,4.3,1071,"strong food quality reputation, fresh ingredient perception, good portion value perception, quick friendly service, consistent repeat experience","spice level inconsistency, minor food preparation inconsistency"
rest_093,Pal's Indian Cuisine,4.4,587,"strong food quality reputation, friendly attentive service, pleasant clean atmosphere, reasonable value pricing, popular delivery demand","slow dine in service, menu clarity accuracy issues, distracting loud environment, staff attention divided by delivery"
rest_094,Out & Out,4.6,1113,"strong food quality reputation, friendly helpful service, easy online ordering experience, broad menu variety, good value pricing perception","food quality consistency issues, menu item changes dissatisfaction"
rest_095,Ventura's Offshore Cafe,4.5,1873,"strong food quality reputation, friendly attentive service, pleasant atmosphere experience, efficient seating process, loyal repeat customers","menu variety reduction, presentation consistency issues, value pricing perception, noisy dining environment"
rest_096,Evergreen Indian Restaurant,4.2,966,"strong food quality reputation, friendly attentive service, good value pricing perception, authentic cuisine experience, vegan options availability",food safety cleanliness concern
rest_097,Eddie's - Chisolm Creek,4.4,234,"strong food quality reputation, friendly attentive service, clean welcoming atmosphere, good late night availability, popular local recommendation","poor management responsiveness, inconsistent table oversight, value pricing perception concerns"
rest_098,Pizza Bono,4,823,"strong food quality reputation, friendly service quality, clean welcoming atmosphere, authentic local brand experience, good value pricing perception",food quality consistency issues
rest_099,Chan's Restaurant,4.5,762,"strong food quality reputation, friendly attentive service, pleasant dining atmosphere, loyal repeat customers, positive local recognition","food quality consistency issues, flavor balance inconsistency"
rest_100,La Cocina Mexican Restaurant,4.4,1133,"strong service quality, welcoming atmosphere experience, high customer loyalty, positive repeat experience, strong food quality reputation",food quality consistency issues
rest_101,Basque Tapas Bar,4.7,597,"strong food quality reputation, warm inviting atmosphere, friendly attentive service, consistent repeat experience, high customer satisfaction","limited seating availability, long wait times peak hours"
rest_102,Square Lotus,4.4,1643,"strong food quality reputation, good vegetarian vegan options, pleasant atmosphere location, efficient service during rush, good portion sizes","high pricing perception, tipping process discomfort, dine in experience stronger than takeout"
rest_103,Treva,4.6,1302,"strong food quality reputation, consistent repeat experience, friendly attentive service, pleasant dining atmosphere, appealing drink selection","occasional slow service start, perceived high pricing"
rest_104,Taroko,4.3,321,"strong food quality reputation, friendly attentive service, pleasant atmosphere design, good value pricing perception, diverse appealing menu",food quality consistency issues
rest_105,Vince's Restaurant & Pizzeria,4.6,1127,"strong food quality reputation, authentic welcoming atmosphere, excellent service quality, helpful knowledgeable staff, positive repeat customer intent","slow checkout experience, inconsistent service attentiveness, high price value perception, food quality consistency issues"
rest_106,Chef's Cut Pizzeria,4.7,638,"strong food quality reputation, friendly attentive service, welcoming neighborhood atmosphere, owner personal engagement, high customer loyalty intent",dated interior atmosphere
rest_107,Mi Mexico Lindo,4.7,250,"strong food quality reputation, authentic cuisine experience, good service speed, affordable pricing perception, clean presentation quality","food quality consistency issues, pickup speed reliability issues, value pricing perception concerns"
rest_108,Cheese N Stuff,4.6,275,"strong food quality reputation, friendly welcoming staff, improved interior atmosphere, local community connection","slow order fulfillment, staff coordination issues, menu clarity accuracy issues, value pricing perception concerns, limited parking convenience"
rest_109,Square Lotus,4.4,1643,"strong food quality reputation, good vegetarian vegan options, pleasant atmosphere location, efficient service during rush, generous portion sizes","high pricing perception, tipping process discomfort, dine in solo experience gap, takeout quality inconsistency"
rest_111,Cebu Bar & Bistro,4.5,1518,"strong food quality reputation, friendly service experience, attractive restaurant ambiance, popular busy atmosphere","service attentiveness issues, food quality consistency issues, value pricing perception concerns, customer trust brand experience issues"
rest_112,East Coast Pizza,4.4,2032,"strong food quality reputation, friendly helpful service, reliable online ordering experience, accurate pickup timing, good portion value perception","food portion balance issues, flavor consistency issues"
rest_113,Pappardella,4.3,1621,"strong food quality reputation, inclusive gluten free options, cozy inviting ambiance, friendly knowledgeable staff, reliable reservation experience","slow food preparation time, limited mocktail selection, inconsistent beverage quality, low staff enthusiasm"
rest_114,Mario's Pizza Cafe,4.2,187,"strong food quality reputation, friendly efficient service, consistent cooking quality, good local community presence","incorrect online business hours, poor customer service attitude, limited dine in experience, minor food consistency issues, weak brand presentation signage"
rest_115,Poor Boy Restaurant,4.4,1051,"strong food quality reputation, friendly attentive service, owner accountability integrity, efficient drive-through experience, longstanding local brand trust","food quality consistency issues, temperature control inconsistency, reduced authenticity perception"
rest_116,Eastern Chinese Restaurant,3.9,293,"friendly service quality, fast pickup speed reliability, strong food quality reputation, good portion value perception","food quality consistency issues, limited seating experience, poor service recovery handling, low dine-in presentation quality"
rest_117,Soba Sushi and Noodles,4.5,1489,"strong food quality reputation, generous portion sizes, friendly helpful staff, fast reliable pickup, consistent repeat experience",
rest_118,LA Lasagna Co,4.5,276,"strong food quality reputation, friendly helpful service, good value pricing perception, clean welcoming environment, high customer loyalty","food quality consistency issues, presentation quality concerns"
rest_119,La Cocina,4.4,721,"strong food quality reputation, friendly welcoming service, loyal repeat customer base, positive family atmosphere, owner engagement visibility",
rest_120,Mt. Everest India's Cuisine,4.6,6289,"strong food quality reputation, attentive friendly service, good value pricing perception, clean welcoming environment, consistent dining experience",limited item availability during rush
rest_121,Little Tibet,4.7,483,"strong food quality reputation, friendly attentive service, pleasant cozy ambiance, good value pricing perception, fast food delivery to table","limited seating capacity, parking difficulty nearby"
rest_122,De Islands,4.1,195,"strong food quality reputation, consistency repeat experience, authentic Caribbean flavor experience, clean welcoming environment",limited parking convenience
rest_123,Ichi 18 Teriyaki,4.3,634,"strong food quality reputation, good portion value perception, authentic flavor experience","food quality consistency issues, service quality inconsistency, value pricing perception concerns, menu clarity accuracy issues"
rest_124,Kin Len Thai Night Bites,4.3,1369,"strong food quality reputation, authentic flavor experience, good value pricing perception, pleasant atmosphere ambiance, friendly service interactions","slow service speed, inconsistent portion sizes, noisy dining environment, limited reservation flexibility"
rest_125,Ayawaska Petaluma,4.4,604,"strong food quality reputation, pleasant atmosphere experience, helpful friendly service, good drink quality","food quality consistency issues, service attentiveness issues, reservation management problems"
rest_126,Pizza Delicious,4.6,2227,"strong food quality reputation, fresh ingredient perception, responsive management service recovery, fast in person ordering, friendly attentive staff","pickup order communication issues, food temperature inconsistency, menu item appeal inconsistency, value pricing perception"
rest_127,Aticha Thai Cuisine,4.4,549,"strong food quality reputation, friendly attentive service, pleasant welcoming atmosphere, reasonable pricing perception, consistent repeat experience","portion size value concern, minor wait time seating"
rest_128,India's House,4,847,"strong food quality reputation, friendly owner service, pleasant dining atmosphere, popular lunch buffet, reasonable value perception","food temperature consistency issues, payment process frustration, food safety cleanliness concerns, flavor consistency decline"
rest_129,Chef's Cut Pizzeria,4.7,638,"strong food quality reputation, friendly attentive service, welcoming neighborhood atmosphere, owner personal engagement, high customer loyalty intent",dated interior atmosphere
rest_130,Shorty's Diner,4.6,3216,"large portion sizes value, friendly attentive service, fast food preparation, strong food quality reputation, positive local brand loyalty","food quality consistency issues, pricing value perception, noisy dining environment, service attentiveness inconsistency"
rest_131,Terror Tacos,4.7,819,"strong food quality reputation, welcoming friendly staff, unique engaging atmosphere, consistent repeat experience, strong brand loyalty","slow order fulfillment, noise level discomfort, limited parking convenience"
rest_132,Ray's Pizza,4.5,216,"strong food quality reputation, friendly welcoming service, good value pricing perception, reliable pickup packaging, positive repeat customer intent",limited operating hours
rest_133,River Street Grill,4.1,447,"strong food quality reputation, friendly service quality, good value pricing perception, popular local brand experience","long pickup wait times, food flavor consistency issues"
rest_134,Singha Thai Cuisine,4.6,1386,"strong food quality reputation, authentic flavor experience, attentive friendly service, pleasant dining ambience, generous portion sizes","long wait times, flavor authenticity inconsistency, food taste balance issues"
rest_135,Spud Ranch,4.5,1388,"friendly helpful service, fast pickup speed, strong food quality reputation, comfortable cozy atmosphere, good value perception","portion size imbalance, limited combo options, minor food consistency issues"
rest_137,Costa Pacifica,4.3,1984,"strong food quality reputation, attentive friendly service, good portion balance, positive repeat visit intent","misleading promotion communication, slow food delivery speed, inconsistent food quality, poor value perception"
rest_138,Yume Japanese Cuisine,4.7,205,"strong food quality reputation, friendly attentive service, fast order fulfillment, welcoming local atmosphere, helpful menu guidance","menu item availability issues, portion size perception"
rest_139,La Cosina Mexicana,4.6,845,"strong food quality reputation, authentic dining experience, friendly welcoming service, good value perception, loyal repeat customer base",limited operating hours
rest_140,Iacono's Pizza & Restaurant,4.3,384,"strong food quality reputation, friendly welcoming service, good value pricing perception, fast pickup experience","cleanliness consistency issues, dine in experience dissatisfaction, food quality inconsistency, outdated atmosphere perception"
rest_141,Roma Pizza,3.7,225,"strong food quality reputation, large portion value perception, family friendly appeal, local community support sentiment","food quality consistency issues, value pricing perception concerns"
rest_142,Sazon Latino & Catering,4.5,110,"strong food quality reputation, authentic menu experience, friendly welcoming service, good value perception, consistent repeat satisfaction",limited parking availability
rest_143,Sal's Italian Ristorante and Pizzeria,4.3,194,"strong food quality reputation, friendly responsive service, menu flexibility for modifications, comfortable local atmosphere, homemade specialty appeal","value pricing perception, food quality consistency issues"
rest_144,Los Portales,4.4,607,"strong food quality reputation, welcoming atmosphere experience, friendly attentive service, community heritage connection, consistent repeat customer loyalty","order accuracy issues, service attentiveness inconsistency, food quality consistency issues, value pricing concerns"
rest_145,Tiki Taco,4.4,1494,"strong food quality reputation, consistent repeat experience, friendly service quality, fair value pricing perception, authentic brand experience",limited seating capacity
rest_146,Rakuten Ramen,4.2,346,"friendly attentive service, strong food quality reputation, large portion value perception, customizable menu options, pleasant dining atmosphere","drive thru service issues, slow order fulfillment, inconsistent service quality"
rest_147,Tere's Mexican Grill,4.4,357,"strong food quality reputation, friendly welcoming service, fair value pricing perception, pleasant relaxed atmosphere, quick food preparation","food safety sanitation concern, food quality consistency issues"
rest_148,SoupFarm,4.6,260,"strong food quality reputation, friendly helpful service, menu variety inclusivity, consistent repeat experience, fair healthy food perception",portion size value concern
rest_149,Oco Time,4.6,568,"strong food quality reputation, good vegetarian menu options, friendly attentive service, pleasant atmosphere experience, high customer satisfaction loyalty",
rest_150,Hector's Mariscos,4.4,825,"strong food quality reputation, helpful friendly service, customization flexibility, comfortable dining environment, good portion value perception","staffing shortage impact, slightly high pricing perception"
